2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilCardRatioMng/save] onto handler 'oilCardRatioMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilCardRatioMng/delete] onto handler 'oilCardRatioMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilCardRatioMng/update] onto handler 'oilCardRatioMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilCardRatioMng/index] onto handler 'oilCardRatioMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilCardRatioMng/getDetailData] onto handler 'oilCardRatioMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilCardRatioMng/getListData] onto handler 'oilCardRatioMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilCardRatioMng/getOutSourcingList] onto handler 'oilCardRatioMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilPriceMng/save] onto handler 'oilPriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilPriceMng/delete] onto handler 'oilPriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilPriceMng/update] onto handler 'oilPriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilPriceMng/index] onto handler 'oilPriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilPriceMng/getDetailData] onto handler 'oilPriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/oilPriceMng/getListData] onto handler 'oilPriceMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/outSourcingMng/save] onto handler 'outSourcingMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/outSourcingMng/delete] onto handler 'outSourcingMngController'
2016-09-26 13:41:18 [main]  INFO (org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping.java:315) - Mapped URL path [/basicSetting/outSourcingMng/update] onto handler 'outSourcingMngController'
